Espere mientras se abre la aplicación|2016-05-24|10:08:11|2016-05-24|10:08:23|0:00:12|ManicTime|Applications|0|42
Program Manager|2016-05-24|10:08:23|2016-05-24|10:08:28|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|42
Licencia|2016-05-24|10:08:28|2016-05-24|10:08:34|0:00:06|ManicTime|Applications|0|42
ManicTime - STANDARD|2016-05-24|10:08:34|2016-05-24|10:08:45|0:00:11|ManicTime|Applications|0|42
Menú Inicio|2016-05-24|10:08:45|2016-05-24|10:08:47|0:00:02|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar 1 elemento (186 MB)|2016-06-03|21:21:58|2016-06-03|21:22:32|0:00:34|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar 9 elementos (249 MB)|2016-06-03|21:22:32|2016-06-03|21:22:38|0:00:06|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar archivo|2016-06-03|21:22:38|2016-06-03|21:23:57|0:01:19|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar 9 elementos (249 MB)|2016-06-03|21:23:57|2016-06-03|21:24:24|0:00:27|Sistema operativo Microsoft® Windows®|Applications|0|42
13 horas restantes|2016-06-03|21:24:24|2016-06-03|21:27:05|0:02:41|Sistema operativo Microsoft® Windows®|Applications|0|42
13 horas restantes|2016-06-03|21:31:07|2016-06-03|21:31:14|0:00:07|Sistema operativo Microsoft® Windows®|Applications|0|42
D en DESKTOP-LS252FC|2016-06-03|21:31:14|2016-06-03|21:31:20|0:00:06|Sistema operativo Microsoft® Windows®|Applications|0|42
Equipo|2016-06-03|21:31:20|2016-06-03|21:31:26|0:00:06|Sistema operativo Microsoft® Windows®|Applications|0|42
Installers|2016-06-03|21:31:26|2016-06-03|21:31:48|0:00:22|Sistema operativo Microsoft® Windows®|Applications|0|42
VMware Workstation|2016-06-03|21:31:48|2016-06-03|21:31:50|0:00:02|VMware Workstation|Applications|0|42
Program Manager|2016-06-03|21:32:27|2016-06-03|21:32:59|0:00:32|Sistema operativo Microsoft® Windows®|Applications|0|42
Menú Inicio|2016-06-03|21:32:59|2016-06-03|21:33:04|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|42
Installers|2016-06-03|21:33:04|2016-06-03|21:33:27|0:00:23|Sistema operativo Microsoft® Windows®|Applications|0|42
Installers (No responde)|2016-06-03|21:33:27|2016-06-03|21:33:32|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar|2016-06-03|21:33:32|2016-06-03|21:33:39|0:00:07|Sistema operativo Microsoft® Windows®|Applications|0|42
Copiar 1 elemento (4,73 MB)|2016-06-03|21:33:39|2016-06-03|21:33:46|0:00:07|Sistema operativo Microsoft® Windows®|Applications|0|42
60 segundos restantes|2016-06-03|21:33:46|2016-06-03|21:34:01|0:00:15|Sistema operativo Microsoft® Windows®|Applications|0|42
45 segundos restantes|2016-06-03|21:34:01|2016-06-03|21:34:16|0:00:15|Sistema operativo Microsoft® Windows®|Applications|0|42
25 segundos restantes|2016-06-03|21:34:16|2016-06-03|21:34:22|0:00:06|Sistema operativo Microsoft® Windows®|Applications|0|42
20 segundos restantes|2016-06-03|21:34:22|2016-06-03|21:34:29|0:00:07|Sistema operativo Microsoft® Windows®|Applications|0|42
10 segundos restantes|2016-06-03|21:34:29|2016-06-03|21:34:36|0:00:07|Sistema operativo Microsoft® Windows®|Applications|0|42
Installers|2016-06-03|21:34:36|2016-06-03|21:35:23|0:00:47|Sistema operativo Microsoft® Windows®|Applications|0|42
