Program Manager|2016-05-24|08:24:00|2016-05-24|08:24:16|0:00:16|Sistema operativo Microsoft® Windows®|Applications|0|5
ManicTime|2016-05-24|08:24:16|2016-05-24|08:24:21|0:00:05|ManicTime|Applications|0|5
Configuración|2016-05-24|08:24:21|2016-05-24|08:24:32|0:00:11|ManicTime|Applications|0|5
Inicio|2016-05-24|08:24:32|2016-05-24|08:24:37|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|5
Menú Inicio|2016-05-24|08:24:37|2016-05-24|08:24:39|0:00:02|Sistema operativo Microsoft® Windows®|Applications|0|5
Copiar 9 elementos (249 MB)|2016-06-02|11:35:34|2016-06-02|11:35:44|0:00:10|Sistema operativo Microsoft® Windows®|Applications|0|5
15 segundos restantes|2016-06-02|11:35:44|2016-06-02|11:35:49|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|5
10 segundos restantes|2016-06-02|11:35:49|2016-06-02|11:35:54|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|5
Program Manager|2016-06-02|11:35:54|2016-06-02|11:36:04|0:00:10|Sistema operativo Microsoft® Windows®|Applications|0|5
Installers|2016-06-02|11:36:04|2016-06-02|11:36:09|0:00:05|Sistema operativo Microsoft® Windows®|Applications|0|5
Setup|2016-06-02|11:36:09|2016-06-02|11:36:16|0:00:07|Microsoft® Visual Studio® 2008|Applications|1|5
Installers|2016-06-02|11:36:16|2016-06-02|11:36:22|0:00:06|Sistema operativo Microsoft® Windows®|Applications|0|5
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|2016-06-02|11:36:22|2016-06-02|11:36:56|0:00:34|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|Applications|0|5
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610|2016-06-02|11:36:56|2016-06-02|11:37:31|0:00:35|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610|Applications|0|5
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030 Setup|2016-06-02|11:37:31|2016-06-02|11:38:03|0:00:32|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|Applications|0|5
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 Setup|2016-06-02|11:38:03|2016-06-02|11:38:08|0:00:05|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|Applications|0|5
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|2016-06-02|11:38:08|2016-06-02|11:38:20|0:00:12|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|Applications|0|5
