24|Active|"2017-07-12 09:14:41"|"2017-07-12 09:18:52"|Active|ManicTime/ComputerUsage
25|Away|"2017-07-12 09:18:52"|"2017-07-12 09:24:03"|Away|ManicTime/ComputerUsage
25|Away|"2017-07-12 09:18:52"|"2017-07-12 09:24:03"|ManicTime|ManicTime/ComputerUsage
26|"Session lock"|"2017-07-12 09:24:03"|"2017-07-12 09:25:24"|"Session lock"|ManicTime/ComputerUsage
27|Active|"2017-07-12 09:25:24"|"2017-07-12 09:30:06"|Active|ManicTime/ComputerUsage
28|Away|"2017-07-12 09:30:06"|"2017-07-12 09:35:17"|Away|ManicTime/ComputerUsage
28|Away|"2017-07-12 09:30:06"|"2017-07-12 09:35:17"|ManicTime|ManicTime/ComputerUsage
29|"Session lock"|"2017-07-12 09:35:17"|"2017-07-12 09:37:14"|"Session lock"|ManicTime/ComputerUsage
60|Escritorio|"2017-07-12 09:14:41"|"2017-07-12 09:18:52"|Archivos|ManicTime/Applications
61|Escritorio|"2017-07-12 09:25:24"|"2017-07-12 09:25:59"|Archivos|ManicTime/Applications
62|"Ubuntu Start Page - Mozilla Firefox"|"2017-07-12 09:25:59"|"2017-07-12 09:26:05"|"Navegador web Firefox"|ManicTime/Applications
63|"ESPOL | Servicio de Autenticación - Mozilla Firefox"|"2017-07-12 09:26:05"|"2017-07-12 09:26:28"|"Navegador web Firefox"|ManicTime/Applications
64|"Actividad reciente - Mozilla Firefox"|"2017-07-12 09:26:28"|"2017-07-12 09:26:45"|"Navegador web Firefox"|ManicTime/Applications
65|"INTERACCIÓN HUMANO COMPUTADOR - Mozilla Firefox"|"2017-07-12 09:26:45"|"2017-07-12 09:26:50"|"Navegador web Firefox"|ManicTime/Applications
66|"Académico en Línea :: Ingreso al Sistema - Mozilla Firefox"|"2017-07-12 09:26:50"|"2017-07-12 09:27:16"|"Navegador web Firefox"|ManicTime/Applications
67|"Académico en Línea :: Búsqueda de Calificaciones - Mozilla Firefox"|"2017-07-12 09:27:16"|"2017-07-12 09:27:36"|"Navegador web Firefox"|ManicTime/Applications
68|"Calificaciones para Arelys Mercedes Vintimilla Valencia: INTERACCIÓN HUMANO COMPUTADOR - Mozilla Firefox"|"2017-07-12 09:27:36"|"2017-07-12 09:28:04"|"Navegador web Firefox"|ManicTime/Applications
69|Escritorio|"2017-07-12 09:28:04"|"2017-07-12 09:29:49"|Archivos|ManicTime/Applications
70|"ESPOL | Servicio de Autenticación - Mozilla Firefox"|"2017-07-12 09:29:49"|"2017-07-12 09:30:06"|"Navegador web Firefox"|ManicTime/Applications
71|"ESPOL | Servicio de Autenticación - Mozilla Firefox"|"2017-07-12 09:37:14"|"2017-07-12 09:38:20"|"Navegador web Firefox"|ManicTime/Applications
72|"nodejs - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:38:20"|"2017-07-12 09:38:26"|"Navegador web Firefox"|ManicTime/Applications
73|"Descarga | Node.js - Mozilla Firefox"|"2017-07-12 09:38:26"|"2017-07-12 09:38:44"|"Navegador web Firefox"|ManicTime/Applications
74|"ubuntu nodejs - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:38:44"|"2017-07-12 09:38:55"|"Navegador web Firefox"|ManicTime/Applications
75|"Cómo instalar Node.js en Ubuntu o Debian - Vozidea.com - Mozilla Firefox"|"2017-07-12 09:38:55"|"2017-07-12 09:39:22"|"Navegador web Firefox"|ManicTime/Applications
76|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:39:22"|"2017-07-12 09:39:41"|Terminal|ManicTime/Applications
77|"Cómo instalar Node.js en Ubuntu o Debian - Vozidea.com - Mozilla Firefox"|"2017-07-12 09:39:41"|"2017-07-12 09:39:47"|"Navegador web Firefox"|ManicTime/Applications
78|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:39:47"|"2017-07-12 09:40:02"|Terminal|ManicTime/Applications
79|"Cómo instalar Node.js en Ubuntu o Debian - Vozidea.com - Mozilla Firefox"|"2017-07-12 09:40:02"|"2017-07-12 09:40:18"|"Navegador web Firefox"|ManicTime/Applications
80|"GitHub - Bernix01/restaurantes - Mozilla Firefox"|"2017-07-12 09:40:18"|"2017-07-12 09:40:29"|"Navegador web Firefox"|ManicTime/Applications
81|Escritorio|"2017-07-12 09:40:29"|"2017-07-12 09:40:45"|Archivos|ManicTime/Applications
82|"Carpeta personal"|"2017-07-12 09:40:45"|"2017-07-12 09:40:51"|Archivos|ManicTime/Applications
83|Descargas|"2017-07-12 09:40:51"|"2017-07-12 09:40:58"|Archivos|ManicTime/Applications
84|restaurantes-master|"2017-07-12 09:40:58"|"2017-07-12 09:41:04"|Archivos|ManicTime/Applications
85|"index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:41:04"|"2017-07-12 09:41:24"|"Editor de textos"|ManicTime/Applications
86|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:41:24"|"2017-07-12 09:41:30"|"Editor de textos"|ManicTime/Applications
87|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:41:30"|"2017-07-12 09:42:00"|Terminal|ManicTime/Applications
88|src|"2017-07-12 09:42:00"|"2017-07-12 09:42:05"|Archivos|ManicTime/Applications
89|components|"2017-07-12 09:42:05"|"2017-07-12 09:42:12"|Archivos|ManicTime/Applications
90|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:42:12"|"2017-07-12 09:42:45"|"Editor de textos"|ManicTime/Applications
92|"ESPOL | Servicio de Autenticación - Mozilla Firefox"|"2017-07-12 09:42:45"|"2017-07-12 09:43:08"|"Navegador web Firefox"|ManicTime/Applications
93|"Actividad reciente - Mozilla Firefox"|"2017-07-12 09:43:08"|"2017-07-12 09:43:34"|"Navegador web Firefox"|ManicTime/Applications
94|"Práctica: Procesamiento de Formularios: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-12 09:43:34"|"2017-07-12 09:44:19"|"Navegador web Firefox"|ManicTime/Applications
95|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:44:19"|"2017-07-12 09:44:57"|"Editor de textos"|ManicTime/Applications
96|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:44:57"|"2017-07-12 09:45:07"|Terminal|ManicTime/Applications
97|"estudiante@GGIECSOFWRK152: ~/Descargas/restaurantes-master"|"2017-07-12 09:45:07"|"2017-07-12 09:45:16"|Terminal|ManicTime/Applications
98|"index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:45:16"|"2017-07-12 09:45:21"|"Editor de textos"|ManicTime/Applications
100|"Práctica: Procesamiento de Formularios: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-12 09:45:21"|"2017-07-12 09:45:32"|"Navegador web Firefox"|ManicTime/Applications
101|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:45:32"|"2017-07-12 09:45:40"|"Editor de textos"|ManicTime/Applications
102|"*AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:45:40"|"2017-07-12 09:46:20"|"Editor de textos"|ManicTime/Applications
104|"input checkbox - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:46:20"|"2017-07-12 09:46:26"|"Navegador web Firefox"|ManicTime/Applications
105|"HTML input checked Attribute - Mozilla Firefox"|"2017-07-12 09:46:26"|"2017-07-12 09:46:44"|"Navegador web Firefox"|ManicTime/Applications
106|"*AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:46:44"|"2017-07-12 09:47:26"|"Editor de textos"|ManicTime/Applications
108|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:47:26"|"2017-07-12 09:47:43"|"Editor de textos"|ManicTime/Applications
109|"*AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:47:43"|"2017-07-12 09:47:55"|"Editor de textos"|ManicTime/Applications
110|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:47:55"|"2017-07-12 09:48:00"|"Editor de textos"|ManicTime/Applications
111|"Práctica: Procesamiento de Formularios: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-12 09:48:00"|"2017-07-12 09:48:19"|"Navegador web Firefox"|ManicTime/Applications
112|"radiobutton - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:48:19"|"2017-07-12 09:48:27"|"Navegador web Firefox"|ManicTime/Applications
113|"Tryit Editor v3.5 - Mozilla Firefox"|"2017-07-12 09:48:27"|"2017-07-12 09:48:39"|"Navegador web Firefox"|ManicTime/Applications
114|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:48:39"|"2017-07-12 09:48:49"|"Editor de textos"|ManicTime/Applications
115|"*AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:48:49"|"2017-07-12 09:49:35"|"Editor de textos"|ManicTime/Applications
116|"estudiante@GGIECSOFWRK152: ~/Descargas/restaurantes-master"|"2017-07-12 09:49:35"|"2017-07-12 09:50:17"|Terminal|ManicTime/Applications
117|"Tryit Editor v3.5 - Mozilla Firefox"|"2017-07-12 09:50:17"|"2017-07-12 09:50:37"|"Navegador web Firefox"|ManicTime/Applications
118|"Cómo instalar Node.js en Ubuntu o Debian - Vozidea.com - Mozilla Firefox"|"2017-07-12 09:50:37"|"2017-07-12 09:50:47"|"Navegador web Firefox"|ManicTime/Applications
119|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:50:47"|"2017-07-12 09:51:03"|Terminal|ManicTime/Applications
120|"Cómo instalar Node.js en Ubuntu o Debian - Vozidea.com - Mozilla Firefox"|"2017-07-12 09:51:03"|"2017-07-12 09:51:14"|"Navegador web Firefox"|ManicTime/Applications
121|"estudiante@GGIECSOFWRK152: ~"|"2017-07-12 09:51:14"|"2017-07-12 09:51:29"|Terminal|ManicTime/Applications
122|"estudiante@GGIECSOFWRK152: ~/Descargas/restaurantes-master"|"2017-07-12 09:51:29"|"2017-07-12 09:52:01"|Terminal|ManicTime/Applications
123|"Práctica: Procesamiento de Formularios: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-12 09:52:01"|"2017-07-12 09:52:26"|"Navegador web Firefox"|ManicTime/Applications
124|"index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:52:26"|"2017-07-12 09:52:33"|"Editor de textos"|ManicTime/Applications
125|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:52:33"|"2017-07-12 09:53:36"|"Editor de textos"|ManicTime/Applications
126|"Nueva pestaña - Mozilla Firefox"|"2017-07-12 09:53:36"|"2017-07-12 09:53:45"|"Navegador web Firefox"|ManicTime/Applications
127|"node.js - Sending a Json File in express - Stack Overflow - Mozilla Firefox"|"2017-07-12 09:53:45"|"2017-07-12 09:54:16"|"Navegador web Firefox"|ManicTime/Applications
128|"express sendjso - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:54:16"|"2017-07-12 09:54:24"|"Navegador web Firefox"|ManicTime/Applications
129|"node.js - Proper way to return JSON using node or Express - Stack Overflow - Mozilla Firefox"|"2017-07-12 09:54:24"|"2017-07-12 09:54:38"|"Navegador web Firefox"|ManicTime/Applications
130|"express sendjso - Buscar con Google - Mozilla Firefox"|"2017-07-12 09:54:38"|"2017-07-12 09:54:50"|"Navegador web Firefox"|ManicTime/Applications
131|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:54:50"|"2017-07-12 09:54:56"|"Editor de textos"|ManicTime/Applications
132|data|"2017-07-12 09:54:56"|"2017-07-12 09:55:03"|Archivos|ManicTime/Applications
133|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:55:03"|"2017-07-12 09:55:17"|"Editor de textos"|ManicTime/Applications
134|"estudiante@GGIECSOFWRK152: ~/Descargas/restaurantes-master"|"2017-07-12 09:55:17"|"2017-07-12 09:55:24"|Terminal|ManicTime/Applications
135|"Mozilla Firefox"|"2017-07-12 09:55:24"|"2017-07-12 09:55:41"|"Navegador web Firefox"|ManicTime/Applications
136|webpack-dashboard|"2017-07-12 09:55:41"|"2017-07-12 09:56:08"|Terminal|ManicTime/Applications
137|"Restaurantes - Mozilla Firefox"|"2017-07-12 09:56:08"|"2017-07-12 09:56:20"|"Navegador web Firefox"|ManicTime/Applications
138|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:56:20"|"2017-07-12 09:56:26"|"Editor de textos"|ManicTime/Applications
139|"*AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:56:26"|"2017-07-12 09:56:32"|"Editor de textos"|ManicTime/Applications
140|webpack-dashboard|"2017-07-12 09:56:32"|"2017-07-12 09:56:46"|Terminal|ManicTime/Applications
141|"Restaurantes - Mozilla Firefox"|"2017-07-12 09:56:46"|"2017-07-12 09:56:56"|"Navegador web Firefox"|ManicTime/Applications
142|"AcercaDe.js (~/Descargas/restaurantes-master/src/scripts/components) - gedit"|"2017-07-12 09:56:56"|"2017-07-12 09:57:15"|"Editor de textos"|ManicTime/Applications
143|"index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:57:15"|"2017-07-12 09:57:28"|"Editor de textos"|ManicTime/Applications
144|"*index.js (~/Descargas/restaurantes-master) - gedit"|"2017-07-12 09:57:28"|"2017-07-12 09:57:52"|"Editor de textos"|ManicTime/Applications
145|webpack-dashboard|"2017-07-12 09:57:52"|"2017-07-12 09:58:07"|Terminal|ManicTime/Applications
