28|Away|"2017-07-17 09:27:24"|"2017-07-17 09:32:35"|Archivos|ManicTime/ComputerUsage
28|Away|"2017-07-17 09:27:24"|"2017-07-17 09:32:35"|Away|ManicTime/ComputerUsage
451|"New Tab - Mozilla Firefox"|"2017-07-17 08:30:19"|"2017-07-17 08:30:25"|"Navegador web Firefox"|ManicTime/Applications
451|"New Tab - Mozilla Firefox"|"2017-07-17 08:30:19"|"2017-07-17 08:30:25"|"Power off"|ManicTime/Applications
452|"Actividad reciente - Mozilla Firefox"|"2017-07-17 08:30:25"|"2017-07-17 08:30:51"|"Navegador web Firefox"|ManicTime/Applications
452|"Actividad reciente - Mozilla Firefox"|"2017-07-17 08:30:25"|"2017-07-17 08:30:51"|"Power off"|ManicTime/Applications
453|"DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:30:51"|"2017-07-17 08:30:56"|"Navegador web Firefox"|ManicTime/Applications
453|"DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:30:51"|"2017-07-17 08:30:56"|"Power off"|ManicTime/Applications
454|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:30:56"|"2017-07-17 08:31:16"|"Navegador web Firefox"|ManicTime/Applications
454|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:30:56"|"2017-07-17 08:31:16"|"Power off"|ManicTime/Applications
455|"Hincha Amarillo - Sitio Oficial Barcelona Sporting Club sitio número uno de todos los seguidores toreros en el Ecuador y el Mundo - Mozilla Firefox"|"2017-07-17 08:31:16"|"2017-07-17 08:31:32"|"Navegador web Firefox"|ManicTime/Applications
455|"Hincha Amarillo - Sitio Oficial Barcelona Sporting Club sitio número uno de todos los seguidores toreros en el Ecuador y el Mundo - Mozilla Firefox"|"2017-07-17 08:31:16"|"2017-07-17 08:31:32"|"Power off"|ManicTime/Applications
456|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:31:32"|"2017-07-17 08:31:43"|"Navegador web Firefox"|ManicTime/Applications
456|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:31:32"|"2017-07-17 08:31:43"|"Power off"|ManicTime/Applications
457|"payless - Buscar con Google - Mozilla Firefox"|"2017-07-17 08:31:43"|"2017-07-17 08:31:48"|"Navegador web Firefox"|ManicTime/Applications
457|"payless - Buscar con Google - Mozilla Firefox"|"2017-07-17 08:31:43"|"2017-07-17 08:31:48"|"Power off"|ManicTime/Applications
458|"Men's Shoes: Dress Shoes, Men's Sandals | Payless Shoes - Mozilla Firefox"|"2017-07-17 08:31:48"|"2017-07-17 08:32:01"|"Navegador web Firefox"|ManicTime/Applications
458|"Men's Shoes: Dress Shoes, Men's Sandals | Payless Shoes - Mozilla Firefox"|"2017-07-17 08:31:48"|"2017-07-17 08:32:01"|"Power off"|ManicTime/Applications
459|"Mens Casual Shoes | Payless Shoes - Mozilla Firefox"|"2017-07-17 08:32:01"|"2017-07-17 08:32:15"|"Navegador web Firefox"|ManicTime/Applications
459|"Mens Casual Shoes | Payless Shoes - Mozilla Firefox"|"2017-07-17 08:32:01"|"2017-07-17 08:32:15"|"Power off"|ManicTime/Applications
460|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:32:15"|"2017-07-17 08:32:28"|"Navegador web Firefox"|ManicTime/Applications
460|"Calificaciones para Renato Manuel Illescas Rodriguez: DESARROLLO DE APLICACIONES WEB - Mozilla Firefox"|"2017-07-17 08:32:15"|"2017-07-17 08:32:28"|"Power off"|ManicTime/Applications
461|"New Tab - Mozilla Firefox"|"2017-07-17 08:32:28"|"2017-07-17 08:32:38"|"Navegador web Firefox"|ManicTime/Applications
461|"New Tab - Mozilla Firefox"|"2017-07-17 08:32:28"|"2017-07-17 08:32:38"|"Power off"|ManicTime/Applications
